    r2             l0-1234         l1-1234         l1-1235         l2-1235         l2-1246         l3-1246          final
5.00000E-001    5.17232E-005    5.17232E-005    5.17232E-005    5.17232E-005    5.17232E-005    5.17232E-005    5.17232E-005
5.05000E-001    4.68621E-005    4.68621E-005    4.68621E-005    4.68621E-005    4.68621E-005    4.68621E-005    4.68621E-005
5.10050E-001    4.24161E-005    4.24161E-005    4.24161E-005    4.24161E-005    4.24161E-005    4.24161E-005    4.24161E-005
5.15151E-001    3.83536E-005    3.83536E-005    3.83536E-005    3.83536E-005    3.83536E-005    3.83536E-005    3.83536E-005
5.20302E-001    3.46453E-005    3.46453E-005    3.46453E-005    3.46453E-005    3.46453E-005    3.46453E-005    3.46453E-005
5.25505E-001    3.12637E-005    3.12637E-005    3.12637E-005    3.12637E-005    3.12637E-005    3.12637E-005    3.12637E-005
5.30760E-001    2.81832E-005    2.81832E-005    2.81832E-005    2.81832E-005    2.81832E-005    2.81832E-005    2.81832E-005
5.36068E-001    2.53799E-005    2.53799E-005    2.53799E-005    2.53799E-005    2.53799E-005    2.53799E-005    2.53799E-005
5.41428E-001    2.28315E-005    2.28315E-005    2.28315E-005    2.28315E-005    2.28315E-005    2.28315E-005    2.28315E-005
5.46843E-001    2.05173E-005    2.05173E-005    2.05173E-005    2.05173E-005    2.05173E-005    2.05173E-005    2.05173E-005
5.52311E-001    1.84180E-005    1.84180E-005    1.84180E-005    1.84180E-005    1.84180E-005    1.84180E-005    1.84180E-005
5.57834E-001    1.65156E-005    1.65156E-005    1.65156E-005    1.65156E-005    1.65156E-005    1.65156E-005    1.65156E-005
5.63413E-001    1.47936E-005    1.47936E-005    1.47936E-005    1.47936E-005    1.47936E-005    1.47936E-005    1.47936E-005
5.69047E-001    1.32365E-005    1.32365E-005    1.32365E-005    1.32365E-005    1.32365E-005    1.32365E-005    1.32365E-005
5.74737E-001    1.18302E-005    1.18302E-005    1.18302E-005    1.18302E-005    1.18302E-005    1.18302E-005    1.18302E-005
5.80484E-001    1.05614E-005    1.05614E-005    1.05614E-005    1.05614E-005    1.05614E-005    1.05614E-005    1.05614E-005
5.86289E-001    9.41800E-006    9.41800E-006    9.41800E-006    9.41800E-006    9.41800E-006    9.41800E-006    9.41800E-006
5.92152E-001    8.38877E-006    8.38877E-006    8.38877E-006    8.38877E-006    8.38877E-006    8.38877E-006    8.38877E-006
5.98074E-001    7.46338E-006    7.46338E-006    7.46338E-006    7.46338E-006    7.46338E-006    7.46338E-006    7.46338E-006
6.04054E-001    6.63231E-006    6.63231E-006    6.63231E-006    6.63231E-006    6.63231E-006    6.63231E-006    6.63231E-006
6.10095E-001    5.88683E-006    5.88683E-006    5.88683E-006    5.88683E-006    5.88683E-006    5.88683E-006    5.88683E-006
6.16196E-001    5.21892E-006    5.21892E-006    5.21892E-006    5.21892E-006    5.21892E-006    5.21892E-006    5.21892E-006
6.22358E-001    4.62121E-006    4.62121E-006    4.62121E-006    4.62121E-006    4.62121E-006    4.62121E-006    4.62121E-006
6.28582E-001    4.08699E-006    4.08699E-006    4.08699E-006    4.08699E-006    4.08699E-006    4.08699E-006    4.08699E-006
6.34867E-001    3.61009E-006    3.61009E-006    3.61009E-006    3.61009E-006    3.61009E-006    3.61009E-006    3.61009E-006
6.41216E-001    3.18488E-006    3.18488E-006    3.18488E-006    3.18488E-006    3.18488E-006    3.18488E-006    3.18488E-006
6.47628E-001    2.80623E-006    2.80623E-006    2.80623E-006    2.80623E-006    2.80623E-006    2.80623E-006    2.80623E-006
6.54104E-001    2.46948E-006    2.46948E-006    2.46948E-006    2.46948E-006    2.46948E-006    2.46948E-006    2.46948E-006
6.60645E-001    2.17036E-006    2.17036E-006    2.17036E-006    2.17036E-006    2.17036E-006    2.17036E-006    2.17036E-006
6.67252E-001    1.90501E-006    1.90501E-006    1.90501E-006    1.90501E-006    1.90501E-006    1.90501E-006    1.90501E-006
6.73924E-001    1.66992E-006    1.66992E-006    1.66992E-006    1.66992E-006    1.66992E-006    1.66992E-006    1.66992E-006
6.80664E-001    1.46192E-006    1.46192E-006    1.46192E-006    1.46192E-006    1.46192E-006    1.46192E-006    1.46192E-006
6.87470E-001    1.27812E-006    1.27812E-006    1.27812E-006    1.27812E-006    1.27812E-006    1.27812E-006    1.27812E-006
6.94345E-001    1.11593E-006    1.11593E-006    1.11593E-006    1.11593E-006    1.11593E-006    1.11593E-006    1.11593E-006
7.01288E-001    9.73002E-007    9.73002E-007    9.73002E-007    9.73002E-007    9.73002E-007    9.73002E-007    9.73002E-007
7.08301E-001    8.47217E-007    8.47217E-007    8.47217E-007    8.47217E-007    8.47217E-007    8.47217E-007    8.47217E-007
7.15384E-001    7.36673E-007    7.36673E-007    7.36673E-007    7.36673E-007    7.36673E-007    7.36673E-007    7.36673E-007
7.22538E-001    6.39657E-007    6.39657E-007    6.39657E-007    6.39657E-007    6.39657E-007    6.39657E-007    6.39657E-007
7.29764E-001    5.54635E-007    5.54635E-007    5.54635E-007    5.54635E-007    5.54635E-007    5.54635E-007    5.54635E-007
7.37061E-001    4.80227E-007    4.80227E-007    4.80227E-007    4.80227E-007    4.80227E-007    4.80227E-007    4.80227E-007
7.44432E-001    4.15204E-007    4.15204E-007    4.15204E-007    4.15204E-007    4.15204E-007    4.15204E-007    4.15204E-007
7.51876E-001    3.58463E-007    3.58463E-007    3.58463E-007    3.58463E-007    3.58463E-007    3.58463E-007    3.58463E-007
7.59395E-001    3.09021E-007    3.09021E-007    3.09021E-007    3.09021E-007    3.09021E-007    3.09021E-007    3.09021E-007
7.66989E-001    2.66004E-007    2.66004E-007    2.66004E-007    2.66004E-007    2.66004E-007    2.66004E-007    2.66004E-007
7.74659E-001    2.28632E-007    2.28632E-007    2.28632E-007    2.28632E-007    2.28632E-007    2.28632E-007    2.28632E-007
7.82405E-001    1.96213E-007    1.96213E-007    1.96213E-007    1.96213E-007    1.96213E-007    1.96213E-007    1.96213E-007
7.90229E-001    1.68134E-007    1.68134E-007    1.68134E-007    1.68134E-007    1.68134E-007    1.68134E-007    1.68134E-007
7.98132E-001    1.43851E-007    1.43851E-007    1.43851E-007    1.43851E-007    1.43851E-007    1.43851E-007    1.43851E-007
